A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
2.0,33.17,3.165,,3.0,,,,,1.0,3.0,1.0,,00380,0.0,0
2.0,48.17,7.625,2.0,1.0,13.0,,15.5,1.0,,12.0,0.0,0.0,00000,,0
2.0,27.58,2.04,3.0,3.0,1.0,8.0,,1.0,1.0,3.0,1.0,,00370,560.0,0
2.0,22.58,10.04,2.0,1.0,14.0,8.0,0.04,1.0,1.0,,0.0,0.0,00060,396.0,0
1.0,24.08,0.5,2.0,1.0,11.0,4.0,1.25,1.0,1.0,1.0,0.0,0.0,,678.0,0
1.0,41.33,1.0,2.0,,7.0,1.0,2.25,1.0,,0.0,1.0,0.0,,300.0,0
2.0,24.83,2.75,2.0,1.0,2.0,8.0,2.25,1.0,,6.0,0.0,0.0,0,600.0,0
,20.75,10.25,2.0,1.0,11.0,8.0,0.71,1.0,1.0,2.0,1.0,0.0,,0.0,0
,36.33,2.125,3.0,3.0,13.0,8.0,0.085,,1.0,,0.0,0.0,,1187.0,0
,35.42,12.0,2.0,,11.0,4.0,14.0,1.0,,8.0,0.0,0.0,00000,6590.0,0
1.0,71.58,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0,0.0,0
2.0,28.67,9.335,,,11.0,4.0,,1.0,1.0,6.0,0.0,0.0,00381,168.0,0
,35.17,2.5,,1.0,9.0,8.0,4.5,1.0,1.0,7.0,0.0,,00150,1270.0,0
2.0,39.50,,2.0,,2.0,1.0,6.5,,1.0,16.0,0.0,,00117,1210.0,0
2.0,39.33,5.875,2.0,,,,10.0,,1.0,14.0,1.0,0.0,00399,,0
2.0,24.33,6.625,3.0,3.0,4.0,8.0,5.5,1.0,0.0,0.0,1.0,,00100,0.0,0
2.0,60.08,14.5,2.0,1.0,6.0,3.0,18.0,,1.0,15.0,1.0,,00000,1000.0,0
,23.08,11.5,2.0,1.0,7.0,8.0,,,1.0,9.0,0.0,0.0,,742.0,0
,26.67,2.71,3.0,3.0,3.0,8.0,5.25,,,,0.0,,00211,0.0,0
,48.17,3.5,2.0,1.0,1.0,,,,0.0,,0.0,2.0,00230,0.0,0
2.0,,4.04,2.0,1.0,3.0,4.0,7.0,,1.0,8.0,0.0,0.0,00320,,0
2.0,55.92,11.5,2.0,1.0,,3.0,5.0,1.0,1.0,,,0.0,00000,8851.0,0
,53.92,9.625,2.0,,,8.0,,1.0,,5.0,0.0,0.0,00000,,0
,18.92,9.25,3.0,3.0,2.0,8.0,1.0,1.0,1.0,4.0,1.0,0.0,00080,,0
1.0,,,,1.0,1.0,,,1.0,1.0,3.0,1.0,0.0,00156,0.0,0
,65.42,11.0,,1.0,5.0,9.0,,1.0,1.0,7.0,1.0,0.0,00022,0.0,0
1.0,,,2.0,,1.0,,1.375,1.0,,0.0,1.0,,,0.0,0
1.0,18.83,9.54,2.0,1.0,,8.0,0.085,1.0,0.0,0.0,0.0,0.0,00100,0.0,0
1.0,37.75,5.5,,,11.0,8.0,0.125,,0.0,0.0,1.0,0.0,,0.0,0
2.0,23.25,,2.0,1.0,2.0,,0.25,1.0,0.0,0.0,1.0,,,0.0,0
2.0,18.08,5.5,2.0,1.0,9.0,,,1.0,0.0,0.0,,0.0,00080,0.0,0
1.0,,8.46,3.0,3.0,14.0,8.0,2.46,0.0,0.0,0.0,0.0,,,,0
2.0,19.67,,2.0,,11.0,,,,,2.0,1.0,0.0,00080,0.0,0
2.0,22.08,11.0,,1.0,3.0,,,1.0,0.0,0.0,0.0,0.0,00100,0.0,0
,25.17,3.5,2.0,1.0,3.0,8.0,0.625,1.0,,,0.0,,00000,7059.0,0
1.0,47.42,3.0,2.0,1.0,14.0,8.0,13.875,1.0,,2.0,1.0,0.0,00519,1704.0,0
,33.50,1.75,2.0,1.0,14.0,4.0,4.5,1.0,1.0,4.0,,,00253,857.0,0
2.0,27.67,13.75,2.0,1.0,13.0,8.0,5.75,1.0,0.0,0.0,1.0,,00487,500.0,0
,58.42,21.0,,1.0,7.0,1.0,,1.0,1.0,13.0,0.0,0.0,00000,6700.0,0
1.0,20.67,1.835,,1.0,11.0,8.0,,1.0,1.0,,0.0,,00220,2503.0,0
2.0,,0.25,2.0,1.0,7.0,,,1.0,0.0,0.0,1.0,0.0,00000,0.0,0
2.0,21.33,7.5,2.0,1.0,1.0,8.0,1.415,1.0,1.0,1.0,0.0,0.0,00080,9800.0,0
2.0,,4.625,2.0,1.0,11.0,,4.58,1.0,0.0,,0.0,2.0,00000,0.0,0
2.0,38.17,10.125,2.0,1.0,14.0,8.0,2.5,,1.0,,0.0,0.0,00520,,0
2.0,20.50,10.0,3.0,3.0,2.0,8.0,2.5,1.0,,0.0,0.0,2.0,00040,0.0,0
2.0,,25.085,2.0,1.0,13.0,,1.75,1.0,,3.0,0.0,0.0,,14.0,0
2.0,28.33,5.0,2.0,1.0,13.0,8.0,11.0,,0.0,,1.0,0.0,,,0
,18.75,7.5,2.0,1.0,11.0,8.0,2.71,1.0,1.0,5.0,0.0,0.0,0,,0
,18.50,,2.0,1.0,7.0,8.0,,1.0,1.0,2.0,0.0,0.0,,,0
2.0,33.17,3.04,3.0,3.0,,4.0,2.04,1.0,1.0,1.0,1.0,0.0,00180,18027.0,0
2.0,45.00,8.5,,1.0,3.0,4.0,14.0,1.0,1.0,1.0,1.0,0.0,00088,2000.0,0
1.0,,0.21,2.0,1.0,11.0,4.0,0.29,1.0,1.0,11.0,0.0,0.0,00080,99.0,0
0.0,24.50,12.75,2.0,1.0,2.0,1.0,,,1.0,2.0,,0.0,,444.0,0
,21.83,11.0,2.0,1.0,14.0,8.0,,1.0,,,,0.0,00121,0.0,0
2.0,40.25,21.5,,1.0,,9.0,,1.0,,11.0,0.0,0.0,,1200.0,0
2.0,41.42,5.0,2.0,1.0,11.0,4.0,5.0,1.0,,6.0,1.0,0.0,00470,0.0,0
,17.83,11.0,2.0,1.0,,4.0,1.0,1.0,1.0,,0.0,0.0,,3000.0,0
,23.17,,2.0,,14.0,,0.46,1.0,1.0,1.0,0.0,0.0,00100,0.0,0
,0,,2.0,1.0,9.0,,0.25,,0.0,,,0.0,00380,2010.0,1
2.0,18.17,10.25,2.0,1.0,2.0,4.0,1.085,0.0,0.0,0.0,,,,13.0,1
2.0,20.00,11.045,2.0,1.0,,,2.0,0.0,,,1.0,0.0,,,1
2.0,,0.0,,1.0,4.0,,,,0.0,0.0,0.0,,00144,,1
1.0,,9.54,2.0,,7.0,,0.04,0.0,,0.0,0.0,0.0,00200,,1
1.0,24.50,,3.0,3.0,2.0,,0.165,,0.0,0.0,0.0,0.0,00132,0.0,1
2.0,32.75,2.335,2.0,,4.0,4.0,5.75,0.0,0.0,0.0,1.0,0.0,00292,0.0,1
,52.17,0.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,00000,,1
1.0,48.17,,2.0,,7.0,7.0,0.335,,0.0,0.0,,0.0,00000,120.0,1
1.0,,10.5,3.0,3.0,14.0,4.0,0.0,,0.0,,,0.0,00154,32.0,1
2.0,,0.585,,1.0,6.0,,,0.0,,0.0,,0.0,00145,,1
2.0,17.08,0.085,3.0,,2.0,8.0,0.04,0.0,,,,0.0,00140,722.0,1
,18.33,1.21,,3.0,5.0,2.0,0.0,0.0,0.0,0.0,,0.0,00100,0.0,1
1.0,,6.0,2.0,1.0,4.0,8.0,1.25,,0.0,0.0,0.0,0.0,00272,0.0,1
